	2011-03-18 23:20:22	Soo good! http://bit.ly/h3soXb 
koibraces	2010-08-12 21:35:26	RT @StaciChase: 1994: Justin Bieber is born. 1994: Kurt Cobain dies. WORST YEAR EVER!
koibraces	2010-11-06 15:25:43	RT @retrozoid: IMPORTANT!!! tesco Blackops deal £25 when bought with a 2100 points card or 3 month membership!! Came down today
koibraces	2010-08-02 23:57:05	Sam pepper is the biggest liar and a massive twat get him out now #bb11
koibraces	2011-03-30 02:00:57	RT @CMPunk: GTS &gt; stunner.
koibraces	2010-09-11 22:08:35	RT @Bieberisabender: I noticed #PowerPuffGirls is a trending topic... has Justin Bieber signed a new film deal?
koibraces	2012-06-26 02:04:11	Lessons learned from The Mist: Jesus freaks are psychotic and suicide is never an option.
koibraces	2010-10-11 18:33:32	RT @Syfy: The US #BeingHuman cast http://twitpic.com/2wr3ye
koibraces	2010-11-08 16:52:36	RT @fraggsNET: We&#39;re helping troops on the USS Kearsarge. Thousands of miles from home, away from families. Let&#39;s make XMas nice! http://bit.ly/ccPXLg - RT
koibraces	2010-10-01 23:27:36	RT @Jessica_Chobot: OMFG! You can play Plants vs Zombies in WoW: Cataclysm! AND YOU CAN HAVE THE SUNFLOWERS AS PETS!!! AAANNDDD THEY SSSIINNGG!!! #ZOMG @IGN
koibraces	2010-11-04 15:14:18	RT @sam_pepper_bb11: OMG!!! CCTV FOOTAGE OF WAGNER FROM X FACTOR. WHAT A NAUGHT BOY &gt;&gt; http://bit.ly/bXny52
koibraces	2010-08-12 15:06:37	RT @GameGears: New Lower prising on Mafia 2 coming towards you today at a lower price point! Watch this space! and please Retweet if possible
koibraces	2011-02-20 17:48:53	RT @totalfilm: Film News: Zombie videogame Dead Island to get a movie adaptation http://bit.ly/dFX8AX
koibraces	2010-08-23 19:20:07	RT @SaintsRow: If we hit 1,000 followers by the end of today, we&#39;ll hold a Saints Row 2 t-shirt giveaway! Help spread the word to all the Saints Row fans!
koibraces	2011-10-06 23:19:53	Retweet this if you want me to add &#39;The Walking Dead&#39; to iSN!
koibraces	2011-04-14 22:35:17	RT @Nave360: Go follow @Nave360 and RT this message to win Portal 2 for the Xbox 360. (UK/IRELAND ONLY) RULES: http://bit.ly/etBaLY #N36 ...
koibraces	2011-03-24 01:12:52	RT @Avengersite: Captain America: The First Avenger - full theatrical trailer now online! http://bit.ly/avcap
koibraces	2011-03-23 10:12:22	RT @postabargain: 3x Crysis 2 Games To Win (#Xbox360 For Me!) – RT &amp; Follow @Postabargain &amp; @GameGears – T&amp;Cs tiny.cc/PaBCrysis2
koibraces	2010-09-25 14:35:30	RT @Nave360: Retweet and follow @Nave360 to win Hydrophobia for the Xbox 360! http://bit.ly/9ovUK2 #N360HP
koibraces	2012-08-08 23:24:52	50 Shades of Grey biggest selling book in England EVER. Why didn&#39;t u guys tell me u liked to be spanked when I was over there for 4 months!
koibraces	2010-07-28 00:18:26	RT @Syfy: This is amusing. An International Relations theorist explains how to deal with  zombies - http://bit.ly/c6GDG1
koibraces	2011-02-14 23:37:04	RT @LMAOTwitpics: Gotta Love Auto Correct http://twitpic.com/3zw3r7
koibraces	2011-03-22 22:14:55	RT @therealtrueshit: That&#39;s it. Series wrap for Jonathan Kent. Just finished my last scene. Bitter sweet. So ends another chapter. &lt;( : - (
koibraces	2010-11-17 21:40:34	RT @katieweasel: Pink is pregnant. I hear Professor Green is the father. That would make the baby &#39;Brown&#39;?
koibraces	2011-04-16 12:16:19	RT @Nave360: Follow @Nave360 and RT this message to win Portal 2 for the Xbox 360. (UK/IRELAND ONLY) RULES: http://bit.ly/etBaLY #N360Portal
koibraces	2011-06-24 12:52:39	I wanna live in the FUTURE! Follow us &amp; RT to win 3 exclusive summer girly tees before they go on sale! #InsertCoinGirly
koibraces	2012-11-05 13:58:20	Wow. #TheWalkingDead. #JustWow Andrew Lincoln is trying to take me out right now. Whoo! For those 10 seconds alone...#Emmy!
koibraces	2010-09-13 19:15:16	RT @HaloWaypoint: REACH LAUNCH COUNTDOWN: Tonight at midnight! Re-Tweet and follow for a chance to win 12-month Xbox LIVE subscription.
koibraces	2010-09-12 23:18:04	RT @HaloWaypoint: REACH LAUNCH COUNTDOWN:  Only 1 day left. ReTweet and Follow @HaloWaypoint for a chance to win 12-months of Xbox LIVE.
koibraces	2010-12-11 21:30:09	RT @simonrim: will.I.am and chav.I.am what a duo
koibraces	2010-10-20 11:15:29	RT @SuperMeatBoy: SUPER MEAT BOY IS OUT NOW ON XBLA!!!! Check out our release trailer! http://bit.ly/dDq7DH (RT this to win shit)
koibraces	2010-08-03 23:03:11	RT @AceyBongos: That Rick Astley was round my house today. Wanted to borrow my Pixar DVDs. I says, &quot;You can have Toy Story, but I&#39;m never gonna give you UP&quot;
koibraces	2011-09-23 14:17:01	Drive is out today and to celebrate we have a poster signed by the director &amp; 4 T-shirts to give away. RT to win!
koibraces	2010-09-11 22:06:34	RT @HaloWaypoint: REACH LAUNCH COUNTDOWN:  2 days and counting. ReTweet and Follow @HaloWaypoint for a chance to win 12-months of Xbox LIVE.
koibraces	2010-11-17 23:59:41	RT @JD_2020: *SPOILER* Don&#39;t click if you haven&#39;t played &quot;Five&quot; on #CODBlackOps. http://2020.vg/9xtcaM &quot;... Why does that not sound like dogs?&quot; - Hahaha!
koibraces	2010-10-05 20:23:10	RT @HaloWaypoint: Non-Halo News: We will be giving away 5 XBLA Comic Jumper codes tomorrow. RT this and follow @HaloWaypoint for your chance to win!
koibraces	2011-02-22 22:50:15	RT @Nave360: Today Nave360 is six months old, so were giving away a code for Breach! Just RT this and follow us #Nave6breach
koibraces	2012-07-27 23:28:35	Bond + Her Majesty on their way to the Olympic opening ceremony. http://t.co/3VxgZ5Kq http://t.co/eSDZ0j0a
koibraces	2010-09-05 22:41:12	RT @therealcliffyb: Breaking news: Gears fans raise over 150K for Child&#39;s Play charity! Carmine madness! You guys rock! http://bit.ly/c8vggx
koibraces	2010-09-05 01:10:13	RT @Raptr: Help us get to 10,000 followers and win 10,000 Microsoft Points! http://bit.ly/bm2z26
koibraces	2010-09-26 14:14:02	RT @Nave360: Retweet and follow @Nave360 to win Serious Sam HD: The Second Encounter for the Xbox 360! http://bit.ly/9ovUK2 #N360SS
koibraces	2010-10-21 20:12:32	RT @SuperMeatBoy: Super Meat Boy is currently the 2nd highest rated game of all time on xbla! http://supermeatboy.com/ (RT this to win a copy!)
koibraces	2012-09-21 13:05:36	#Borderlands2 is out today so we&#39;re celebrating by giving away 5 Xbox 360 copies, just RT to enter! UK entrants only, winners at 5pm.
